"","Country","Year","Value_sum","SDG"
"343","Cabo Verde",2002,36.92716,"14"
"503","Cabo Verde",2003,36.92716,"14"
"663","Cabo Verde",2004,36.92716,"14"
"823","Cabo Verde",2005,39.750374,"14"
"983","Cabo Verde",2006,39.324374,"14"
"1143","Cabo Verde",2007,39.152374,"14"
"1303","Cabo Verde",2008,39.702374,"14"
"1463","Cabo Verde",2009,39.356374,"14"
"1623","Cabo Verde",2010,41.166374,"14"
"1783","Cabo Verde",2011,40.174374,"14"
"1943","Cabo Verde",2012,39.4619016055853,"14"
"2103","Cabo Verde",2013,40.516048,"14"
"2263","Cabo Verde",2014,39.66302,"14"
"2423","Cabo Verde",2015,39.205992,"14"
"2583","Cabo Verde",2016,39.3876764266391,"14"
"2743","Cabo Verde",2017,39.345222,"14"
"2903","Cabo Verde",2018,39.187222,"14"
"3063","Cabo Verde",2019,39.523222,"14"
"24","Cambodia",2000,7.179594,"14"
"184","Cambodia",2001,7.179594,"14"
"344","Cambodia",2002,7.179594,"14"
"504","Cambodia",2003,7.179594,"14"
"664","Cambodia",2004,7.254846,"14"
"824","Cambodia",2005,7.254846,"14"
"984","Cambodia",2006,7.168846,"14"
"1144","Cambodia",2007,7.122846,"14"
"1304","Cambodia",2008,7.486846,"14"
"1464","Cambodia",2009,7.418846,"14"
"1624","Cambodia",2010,7.164846,"14"
"1784","Cambodia",2011,7.146846,"14"
"1944","Cambodia",2012,7.17684727576373,"14"
"2104","Cambodia",2013,7.210866,"14"
"2264","Cambodia",2014,7.384346,"14"
"2424","Cambodia",2015,7.157826,"14"
"2584","Cambodia",2016,7.17414714793952,"14"
"2744","Cambodia",2017,7.30944,"14"
"2904","Cambodia",2018,7.15744,"14"
"3064","Cambodia",2019,7.03944,"14"
"25","Canada",2000,40.212396,"14"
"185","Canada",2001,40.213596,"14"
"345","Canada",2002,40.213596,"14"
"505","Canada",2003,40.215622,"14"
"665","Canada",2004,40.219012,"14"
"825","Canada",2005,40.859908,"14"
"985","Canada",2006,40.832896,"14"
"1145","Canada",2007,40.87745,"14"
"1305","Canada",2008,41.370362,"14"
"1465","Canada",2009,41.4332,"14"
"1625","Canada",2010,42.345626,"14"
"1785","Canada",2011,42.377828,"14"
"1945","Canada",2012,42.3918572181673,"14"
"2105","Canada",2013,42.323966,"14"
"2265","Canada",2014,42.4490772818327,"14"
"2425","Canada",2015,42.44621,"14"
"2585","Canada",2016,42.411546,"14"
"2745","Canada",2017,42.922754,"14"
"2905","Canada",2018,42.924754,"14"
"3065","Canada",2019,42.942754,"14"
"26","Cayman Islands",2000,6.309306,"14"
"186","Cayman Islands",2001,6.309306,"14"
"346","Cayman Islands",2002,6.309306,"14"
"506","Cayman Islands",2003,6.309306,"14"
"666","Cayman Islands",2004,6.309306,"14"
"826","Cayman Islands",2005,6.309306,"14"
"986","Cayman Islands",2006,6.317306,"14"
"1146","Cayman Islands",2007,6.307306,"14"
"1306","Cayman Islands",2008,6.307306,"14"
"1466","Cayman Islands",2009,6.313306,"14"
"1626","Cayman Islands",2010,6.311306,"14"
"1786","Cayman Islands",2011,6.307306,"14"
"1946","Cayman Islands",2012,6.30880442780086,"14"
"2106","Cayman Islands",2013,6.840612,"14"
"2266","Cayman Islands",2014,6.311457,"14"
"2426","Cayman Islands",2015,6.312302,"14"
"2586","Cayman Islands",2016,6.34032901881206,"14"
"2746","Cayman Islands",2017,6.326278,"14"
"2906","Cayman Islands",2018,6.310278,"14"
"3066","Cayman Islands",2019,6.322278,"14"
"27","Chile",2000,44.301502,"14"
"187","Chile",2001,44.301502,"14"
"347","Chile",2002,44.301502,"14"
"507","Chile",2003,44.301502,"14"
"667","Chile",2004,44.663066,"14"
"827","Chile",2005,44.705768,"14"
"987","Chile",2006,44.903768,"14"
"1147","Chile",2007,45.56168,"14"
"1307","Chile",2008,45.45368,"14"
"1467","Chile",2009,45.204364,"14"
"1627","Chile",2010,45.666336,"14"
"1787","Chile",2011,45.572336,"14"
"1947","Chile",2012,46.182336,"14"
